Частота слов:
of - 0.059
the - 0.0379
and - 0.0351
or - 0.0239
to - 0.0225
art - 0.0183
a - 0.0183
etc - 0.0112
in - 0.0098
about - 0.0084
that - 0.0084
it - 0.0084
work - 0.0084
e.g. - 0.0084
artwork - 0.0084
criticism - 0.007
is - 0.007
for - 0.007
artist - 0.007
Description - 0.007
elements - 0.007
Art - 0.0056
with - 0.0056
other - 0.0056
= - 0.0056
whether - 0.0056
composition - 0.0056
color - 0.0056
what - 0.0056
works - 0.0042
more - 0.0042
space - 0.0042
analysis - 0.0042
use - 0.0042
object - 0.0042
interpretation - 0.0042
It - 0.0042
answers - 0.0042
question - 0.0042
do - 0.0042
The - 0.0042
various - 0.0042
constitute - 0.0042
include - 0.0042
b - 0.0042
used - 0.0042
c - 0.0042
including - 0.0042
line - 0.0042
how - 0.0042
Analysis - 0.0042
features - 0.0042
each - 0.0042
I - 0.0042
What - 0.0042
evidence - 0.0042
meaning - 0.0028
judgments - 0.0028
specific - 0.0028
tend - 0.0028
on - 0.0028
cultures - 0.0028
are - 0.0028
professional - 0.0028
may - 0.0028
be - 0.0028
writing - 0.0028
journals - 0.0028
Written - 0.0028
general - 0.0028
particular - 0.0028
you - 0.0028
description - 0.0028
painting - 0.0028
one - 0.0028
arts - 0.0028
scale - 0.0028
and/or - 0.0028
context - 0.0028
d - 0.0028
shapes - 0.0028
structural - 0.0028
system - 0.0028
objects - 0.0028
e - 0.0028
horizontal - 0.0028
f - 0.0028
g - 0.0028
shape - 0.0028
between - 0.0028
lines - 0.0028
h - 0.0028
i - 0.0028
j - 0.0028
did - 0.0028
most - 0.0028
part - 0.0028
think - 0.0028
Evidence - 0.0028
inside - 0.0028
outside - 0.0028
my - 0.0028
Judgment - 0.0028
criteria - 0.0028
Defining - 0.0014
Criticism - 0.0014
responding - 0.0014
interpreting - 0.0014
making - 0.0014
critical - 0.0014
critics - 0.0014
help - 0.0014
viewers - 0.0014
perceive - 0.0014
interpret - 0.0014
judge - 0.0014
artworks - 0.0014
Critics - 0.0014
focus - 0.0014
modern - 0.0014
contemporary - 0.0014
from - 0.0014
close - 0.0014
their - 0.0014
own - 0.0014
historians - 0.0014
study - 0.0014
made - 0.0014
distant - 0.0014
time - 0.0014
When - 0.0014
initially - 0.0014
introduced - 0.0014
many - 0.0014
people - 0.0014
associate - 0.0014
negative - 0.0014
connotations - 0.0014
word - 0.0014
"criticism." - 0.0014
A - 0.0014
critic - 0.0014
newspaper - 0.0014
reporter - 0.0014
assigned - 0.0014
beat - 0.0014
scholar - 0.0014
texts - 0.0014
an - 0.0014
artists - 0.0014
Journalistic - 0.0014
â€“ - 0.0014
public - 0.0014
includes - 0.0014
reviews - 0.0014
exhibitions - 0.0014
galleries - 0.0014
museums - 0.0014
Suggestions - 0.0014
journalistic - 0.0014
deals - 0.0014
mainly - 0.0014
extent - 0.0014
newsworthy. - 0.0014
Scholarly - 0.0014
specialized - 0.0014
audience - 0.0014
appears - 0.0014
Scholar-critics - 0.0014
college - 0.0014
university - 0.0014
professors - 0.0014
museum - 0.0014
curators - 0.0014
often - 0.0014
knowledge - 0.0014
style - 0.0014
period - 0.0014
medium - 0.0014
FORMAL - 0.0014
ANALYSIS - 0.0014
-Four - 0.0014
levels - 0.0014
formal - 0.0014
which - 0.0014
can - 0.0014
explain - 0.0014
1 - 0.0014
pure - 0.0014
without - 0.0014
value - 0.0014
"What - 0.0014
see?" - 0.0014
Form - 0.0014
architecture - 0.0014
sculpture - 0.0014
minor - 0.0014
Medium - 0.0014
clay - 0.0014
stone - 0.0014
steel - 0.0014
paint - 0.0014
etc. - 0.0014
technique - 0.0014
tools - 0.0014
Size - 0.0014
relationship - 0.0014
person - 0.0014
frame - 0.0014
Elements - 0.0014
architectural - 0.0014
within - 0.0014
building - 0.0014
post-lintel - 0.0014
construction - 0.0014
several - 0.0014
figures - 0.0014
lined - 0.0014
up - 0.0014
row - 0.0014
identification - 0.0014
axis - 0.0014
vertical - 0.0014
diagonal - 0.0014
contour - 0.0014
as - 0.0014
soft - 0.0014
planar - 0.0014
jagged - 0.0014
describes - 0.0014
volume) - 0.0014
distinguish - 0.0014
thick - 0.0014
thin - 0.0014
variable - 0.0014
irregular - 0.0014
intermittent - 0.0014
indistinct - 0.0014
Relationships - 0.0014
large - 0.0014
small - 0.0014
overlapping - 0.0014
scheme - 0.0014
palette - 0.0014
Texture - 0.0014
surface - 0.0014
comments - 0.0014
execution - 0.0014
k - 0.0014
Context - 0.0014
original - 0.0014
location - 0.0014
date - 0.0014
2 - 0.0014
determining - 0.0014
suggest - 0.0014
deciding - 0.0014
why - 0.0014
such - 0.0014
convey - 0.0014
ideas - 0.0014
"How - 0.0014
it?" - 0.0014
Determination - 0.0014
subject - 0.0014
matter - 0.0014
through - 0.0014
naming - 0.0014
iconographic - 0.0014
historical - 0.0014
event - 0.0014
allegory - 0.0014
mythology - 0.0014
Selection - 0.0014
distinctive - 0.0014
characteristics - 0.0014
texture - 0.0014
principles - 0.0014
design - 0.0014
stable - 0.0014
repetitious - 0.0014
rhythmic - 0.0014
unified - 0.0014
symmetrical - 0.0014
harmonious - 0.0014
geometric - 0.0014
varied - 0.0014
chaotic - 0.0014
vertically - 0.0014
oriented - 0.0014
Discussion - 0.0014
contribute - 0.0014
appearance - 0.0014
image - 0.0014
function - 0.0014
light - 0.0014
role - 0.0014
contrasty - 0.0014
shadowy - 0.0014
illogical - 0.0014
warm - 0.0014
cool - 0.0014
symbolic - 0.0014
Treatment - 0.0014
landscape - 0.0014
both - 0.0014
real - 0.0014
illusionary - 0.0014
perspective) - 0.0014
compact - 0.0014
deep - 0.0014
shallow - 0.0014
naturalistic - 0.0014
random - 0.0014
Portrayal - 0.0014
movement - 0.0014
achieved - 0.0014
Effect - 0.0014
medium(s - 0.0014
Your - 0.0014
perceptions - 0.0014
balance - 0.0014
proportion - 0.0014
relationships - 0.0014
whole - 0.0014
your - 0.0014
emotional - 0.0014
Reaction - 0.0014
monument - 0.0014
3 - 0.0014
Interpretation - 0.0014
establishing - 0.0014
broader - 0.0014
this - 0.0014
type - 0.0014
"Why - 0.0014
create - 0.0014
does - 0.0014
mean - 0.0014
Main - 0.0014
idea - 0.0014
overall - 0.0014
Interpretive - 0.0014
Statement - 0.0014
Can - 0.0014
express - 0.0014
sentence - 0.0014
supports - 0.0014
4 - 0.0014
Judging - 0.0014
piece - 0.0014
means - 0.0014
giving - 0.0014
rank - 0.0014
relation - 0.0014
course - 0.0014
considering - 0.0014
very - 0.0014
important - 0.0014
aspect - 0.0014
visual - 0.0014
its - 0.0014
originality - 0.0014
Is - 0.0014
good - 0.0014
Criteria - 0.0014
appropriate - 0.0014
judging - 0.0014
relates - 0.0014
criterion - 0.0014
Based - 0.0014
judgment - 0.0014
quality - 0.0014
************ 
Информация о словах из словаря:
************ 
Совпадений со словарем не обнаружено
{}
